Frame Number,Total Vehicles,Total Riders,Triple Riding Violations
0,1,5,0
60,0,3,0
120,2,5,0
180,1,2,0
240,2,2,0
300,0,1,0
360,0,1,0
420,2,3,0
480,2,3,0
540,5,2,0
600,3,6,0
660,2,3,0
720,3,3,0
780,3,1,0
840,1,1,0
900,1,1,0
960,1,1,0
1020,3,3,0
1080,2,3,0
1140,3,4,0
1200,1,4,0
1260,3,2,0
1320,6,3,0
1380,4,4,0
1440,3,3,0
1500,1,3,0
1560,3,1,0
1620,1,6,0
1680,4,1,0
1740,1,2,0
1800,0,1,0
1860,0,1,0
1920,3,1,0
1980,1,1,0
2040,1,3,0
2100,1,3,0
2160,2,2,0
2220,1,4,0
2280,3,3,0
2340,3,1,0
2400,3,2,0
2460,1,2,0
2520,0,1,0
2580,0,0,0
2640,1,0,0
2700,5,1,0
2760,2,2,0
2820,3,3,0
2880,3,1,0
2940,4,7,0
3000,0,1,0
3060,4,1,0
3120,1,2,0
3180,3,3,0
3240,3,3,0
3300,4,1,0
3360,4,4,0
3420,1,1,0
3480,0,1,0
3540,4,6,0
